"ID","Group","Timepoint","Specificity","algorithm","Group_specificity","value"
"E11","20-mer","B1","DP","Chao1","DP_B1_20-mer",71.3908749665367
"E11","20-mer","B1","PreF","Chao1","PreF_B1_20-mer",26.2233333333333
"E11","20-mer","B1","Total","Chao1","Total_B1_20-mer",108.645257381507
"E11","20-mer","B2","DP","Chao1","DP_B2_20-mer",145.004698844327
"E11","20-mer","B2","PreF","Chao1","PreF_B2_20-mer",76.9733142968143
"E11","20-mer","B2","Total","Chao1","Total_B2_20-mer",247.75824637251
"E12","1-mer","B1","DP","Chao1","DP_B1_1-mer",23.3333333333333
"E12","1-mer","B1","PreF","Chao1","PreF_B1_1-mer",37.4285714285714
"E12","1-mer","B1","Total","Chao1","Total_B1_1-mer",78.6361363636364
"E12","1-mer","B2","DP","Chao1","DP_B2_1-mer",43
"E12","1-mer","B2","PreF","Chao1","PreF_B2_1-mer",76.9692718947719
"E12","1-mer","B2","Total","Chao1","Total_B2_1-mer",148.018435608509
"E14","1-mer","B1","DP","Chao1","DP_B1_1-mer",41.0304350649351
"E14","1-mer","B1","PreF","Chao1","PreF_B1_1-mer",43.6951475746476
"E14","1-mer","B1","Total","Chao1","Total_B1_1-mer",93.5592484383951
"E14","1-mer","B2","DP","Chao1","DP_B2_1-mer",80.8580756922816
"E14","1-mer","B2","PreF","Chao1","PreF_B2_1-mer",88.5706454808521
"E14","1-mer","B2","Total","Chao1","Total_B2_1-mer",195.965830763317
"E16","20-mer","B1","DP","Chao1","DP_B1_20-mer",88.1278936458279
"E16","20-mer","B1","PreF","Chao1","PreF_B1_20-mer",69.0484991813742
"E16","20-mer","B1","Total","Chao1","Total_B1_20-mer",172.886132584431
"E16","20-mer","B2","DP","Chao1","DP_B2_20-mer",117.070002442002
"E16","20-mer","B2","PreF","Chao1","PreF_B2_20-mer",79.231423021423
"E16","20-mer","B2","Total","Chao1","Total_B2_20-mer",220.85565433165
"E17","20-mer","B1","DP","Chao1","DP_B1_20-mer",51.6479289321789
"E17","20-mer","B1","PreF","Chao1","PreF_B1_20-mer",25.2141666666667
"E17","20-mer","B1","Total","Chao1","Total_B1_20-mer",79.1111111111111
"E17","20-mer","B2","DP","Chao1","DP_B2_20-mer",91.3943811509268
"E17","20-mer","B2","PreF","Chao1","PreF_B2_20-mer",72.7316172634555
"E17","20-mer","B2","Total","Chao1","Total_B2_20-mer",193.256437514541
"E18","1-mer","B1","DP","Chao1","DP_B1_1-mer",32.0765
"E18","1-mer","B1","PreF","Chao1","PreF_B1_1-mer",60.9417595460095
"E18","1-mer","B1","Total","Chao1","Total_B1_1-mer",105.747668498168
"E18","1-mer","B2","DP","Chao1","DP_B2_1-mer",70.6763333333333
"E18","1-mer","B2","PreF","Chao1","PreF_B2_1-mer",91.2283536879787
"E18","1-mer","B2","Total","Chao1","Total_B2_1-mer",186.868110653236
"E21","1-mer","B1","DP","Chao1","DP_B1_1-mer",42.948373015873
"E21","1-mer","B1","PreF","Chao1","PreF_B1_1-mer",65.5392345154845
"E21","1-mer","B1","Total","Chao1","Total_B1_1-mer",121.634268196759
"E21","1-mer","B2","DP","Chao1","DP_B2_1-mer",66.0443452380952
"E21","1-mer","B2","PreF","Chao1","PreF_B2_1-mer",104.861565239499
"E21","1-mer","B2","Total","Chao1","Total_B2_1-mer",181
"E23","20-mer","B1","DP","Chao1","DP_B1_20-mer",73.5213582389832
"E23","20-mer","B1","PreF","Chao1","PreF_B1_20-mer",50.8790595238095
"E23","20-mer","B1","Total","Chao1","Total_B1_20-mer",144.129067534188
"E23","20-mer","B2","DP","Chao1","DP_B2_20-mer",97.1885149980738
"E23","20-mer","B2","PreF","Chao1","PreF_B2_20-mer",46.3687023809524
"E23","20-mer","B2","Total","Chao1","Total_B2_20-mer",171.240093684094
"E24","20-mer","B1","DP","Chao1","DP_B1_20-mer",67.2417911932838
"E24","20-mer","B1","PreF","Chao1","PreF_B1_20-mer",39.9619880952381
"E24","20-mer","B1","Total","Chao1","Total_B1_20-mer",128.165606810974
"E24","20-mer","B2","DP","Chao1","DP_B2_20-mer",107.201756536549
"E24","20-mer","B2","PreF","Chao1","PreF_B2_20-mer",63.2
"E24","20-mer","B2","Total","Chao1","Total_B2_20-mer",191.87240676489
