"ID","Timepoint","Specificity","obs_0.0D","est_0.0D","est_0.0D.","est_0.0D..1","obs_1.0D","est_1.0D","est_1.0D.","est_1.0D..1","obs_2.0D","est_2.0D","est_2.0D.","est_2.0D..1","obs_infD","est_infD","est_infD.","est_infD..1","Group","Group_specificity"
"E11","B1","DP",78,81.48186158,78,Inf,34.7398054,35.02122271,34.7398054,Inf,19.94976474,19.98367498,19.94976474,Inf,6.854354354,6.858106389,6.854354354,Inf,"20-mer","DP_B1_20-mer"
"E11","B1","PreF",27,28.08931864,27,Inf,7.397994366,7.433521034,7.397994366,Inf,4.416688525,4.419287771,4.416688525,Inf,2.441911765,2.442519753,2.441911765,Inf,"20-mer","PreF_B1_20-mer"
"E11","B1","Total",111,116.6680466,111,130.20238,38.53743635,38.76594798,38.53743635,Inf,18.77367426,18.7794307,18.77367426,Inf,6.020588235,6.02064136,6.020588235,Inf,"20-mer","Total_B1_20-mer"
"E11","B2","DP",149,156.2018269,149,175.9099989,58.34314087,58.6621674,58.34314087,Inf,34.86687382,34.86393494,34.86687382,Inf,11.40983607,11.40711563,11.40983607,Inf,"20-mer","DP_B2_20-mer"
"E11","B2","PreF",81,85.99343271,81,Inf,16.91114989,17.0496404,16.91114989,Inf,6.554695313,6.548331476,6.554695313,Inf,2.803278689,2.801560973,2.803278689,Inf,"20-mer","PreF_B2_20-mer"
"E11","B2","Total",241,251.4552728,241,273.2140999,71.98978185,72.14123852,71.98978185,78.82368145,34.12203975,34.03382367,34.12203975,Inf,10.00504414,9.990525211,10.00504414,Inf,"20-mer","Total_B2_20-mer"
"E12","B1","DP",23,23.36438106,23,Inf,10.90070985,11.28282009,10.90070985,Inf,7.669182158,7.786181587,7.669182158,Inf,4.504504505,4.52995462,4.504504505,Inf,"1-mer","DP_B1_1-mer"
"E12","B1","PreF",37,37.68327942,37,Inf,8.19419436,8.310500899,8.19419436,Inf,4.61795307,4.607459311,4.61795307,Inf,2.701357466,2.696605233,2.701357466,Inf,"1-mer","PreF_B1_1-mer"
"E12","B1","Total",76,77.86195763,76,Inf,8.877579133,8.890758965,8.877579133,Inf,4.185159428,4.179534127,4.185159428,Inf,2.33926868,2.337639625,2.33926868,Inf,"1-mer","Total_B1_1-mer"
"E12","B2","DP",38,43.44909281,38,Inf,5.079211814,5.156295339,5.079211814,Inf,2.44454865,2.451363617,2.44454865,Inf,1.604666235,1.60681245,1.604666235,Inf,"1-mer","DP_B2_1-mer"
"E12","B2","PreF",76,82.52089756,76,Inf,7.361942477,7.49786809,7.361942477,Inf,2.880751798,2.886124617,2.880751798,Inf,1.78021978,1.781695915,1.78021978,Inf,"1-mer","PreF_B2_1-mer"
"E12","B2","Total",135,145.9700968,136.6280106,159.0462148,19.45476207,19.69189559,19.45476207,Inf,9.539283753,9.55471731,9.539283753,Inf,4.895315211,4.898907296,4.895315211,Inf,"1-mer","Total_B2_1-mer"
"E14","B1","DP",42,43.6954079,42,Inf,8.315763413,8.526389166,8.315763413,Inf,4.301863667,4.329021936,4.301863667,Inf,2.593220339,2.600850665,2.593220339,Inf,"1-mer","DP_B1_1-mer"
"E14","B1","PreF",47,49.71867213,47,Inf,3.096330069,3.127307941,3.096330069,Inf,1.671497218,1.67448292,1.671497218,Inf,1.305958938,1.307112809,1.305958938,Inf,"1-mer","PreF_B1_1-mer"
"E14","B1","Total",96,101.0386198,96,112.3490446,8.13281746,8.219079024,8.13281746,Inf,3.346423711,3.350995782,3.346423711,Inf,1.909864797,1.9111283,1.909864797,Inf,"1-mer","Total_B1_1-mer"
"E14","B2","DP",87,97.98738745,87,Inf,11.06347881,11.14618983,11.06347881,Inf,5.795587638,5.80200382,5.795587638,Inf,2.884637681,2.886192611,2.884637681,Inf,"1-mer","DP_B2_1-mer"
"E14","B2","PreF",99,116.8310133,106.0825601,131.5717225,18.20192104,18.29597195,18.20192104,Inf,8.59453041,8.586611938,8.59453041,Inf,4.352476291,4.35019246,4.352476291,Inf,"1-mer","PreF_B2_1-mer"
"E14","B2","Total",196,225.2283233,209.4623407,247.4647553,29.18311683,29.25822739,29.18311683,Inf,15.47854248,15.46212195,15.47854248,Inf,6.336231884,6.332688927,6.336231884,Inf,"1-mer","Total_B2_1-mer"
"E16","B1","DP",105,107.1555103,105,119.9130596,35.22263042,35.04698836,35.22263042,Inf,17.46278131,17.26157539,17.46278131,Inf,5.685164213,5.648672616,5.685164213,Inf,"20-mer","DP_B1_20-mer"
"E16","B1","PreF",70,78.4428317,70,Inf,18.02330976,18.1339148,18.02330976,Inf,8.520500472,8.501369075,8.520500472,Inf,3.867063492,3.861653344,3.867063492,Inf,"20-mer","PreF_B1_20-mer"
"E16","B1","Total",183,194.4140211,183,211.2369774,29.61076814,29.30057801,29.61076814,Inf,8.795582471,8.70897012,8.795582471,Inf,3.234855769,3.218582913,3.234855769,Inf,"20-mer","Total_B1_20-mer"
"E16","B2","DP",127,132.3658435,127,149.4702107,43.8178342,43.86363904,43.8178342,Inf,21.25224814,21.23037613,21.25224814,Inf,5.933489828,5.930114195,5.933489828,Inf,"20-mer","DP_B2_20-mer"
"E16","B2","PreF",91,94.18631782,91,Inf,26.79800614,26.83161147,26.79800614,Inf,12.48138666,12.47100876,12.48138666,Inf,4.27294686,4.271035941,4.27294686,Inf,"20-mer","PreF_B2_20-mer"
"E16","B2","Total",228,236.3573802,228,259.6925662,73.87372868,73.9208955,73.87372868,81.66978643,35.58553609,35.54263721,35.58553609,Inf,10.56964006,10.56276328,10.56964006,Inf,"20-mer","Total_B2_20-mer"
"E17","B1","DP",50,51.95263663,50,Inf,19.24912148,19.6979402,19.24912148,Inf,10.87141269,10.86847216,10.87141269,Inf,4.977900552,4.965294503,4.977900552,Inf,"20-mer","DP_B1_20-mer"
"E17","B1","PreF",24,28.13304575,24,Inf,9.485057527,9.731053212,9.485057527,Inf,6.888403323,6.969203187,6.888403323,Inf,4.471264368,4.497818615,4.471264368,Inf,"20-mer","PreF_B1_20-mer"
"E17","B1","Total",76,78.59737993,76,Inf,22.38102672,22.62133229,22.38102672,Inf,13.35796646,13.33969689,13.35796646,Inf,6.326839827,6.319409103,6.326839827,Inf,"20-mer","Total_B1_20-mer"
"E17","B2","DP",93,158.1338747,139.1578097,187.7294516,7.752113631,7.808370748,7.752113631,Inf,2.684418956,2.68157587,2.684418956,Inf,1.655797101,1.654884356,1.655797101,Inf,"20-mer","DP_B2_20-mer"
"E17","B2","PreF",73,81.51069415,73,Inf,13.9205932,14.15432238,13.9205932,Inf,7.972849125,7.987476486,7.972849125,Inf,4.958745875,4.96224651,4.958745875,Inf,"20-mer","PreF_B2_20-mer"
"E17","B2","Total",171,227.4470622,208.341509,254.988445,18.11539027,18.23965003,18.11539027,Inf,5.517924082,5.506670912,5.517924082,Inf,2.461180124,2.458571709,2.461180124,Inf,"20-mer","Total_B2_20-mer"
"E18","B1","DP",32,34.01797764,32,Inf,17.94736905,18.21817978,17.94736905,Inf,12.82040542,12.87484266,12.82040542,Inf,5.55704698,5.558023066,5.55704698,Inf,"1-mer","DP_B1_1-mer"
"E18","B1","PreF",62,65.38687245,62,Inf,11.67456947,11.78632081,11.67456947,Inf,4.815265397,4.8132361,4.815265397,Inf,2.5089914,2.508064942,2.5089914,Inf,"1-mer","PreF_B1_1-mer"
"E18","B1","Total",102,108.3560477,102,121.1463956,23.11453158,23.36962944,23.11453158,Inf,8.048794576,8.045705925,8.048794576,Inf,3.295543393,3.294207256,3.295543393,Inf,"1-mer","Total_B1_1-mer"
"E18","B2","DP",64,74.86362458,64,Inf,24.90633513,25.2721402,24.90633513,Inf,11.47994993,11.52131972,11.47994993,Inf,3.86939314,3.875507934,3.86939314,Inf,"1-mer","DP_B2_1-mer"
"E18","B2","PreF",106,111.8185598,106,125.1312749,14.49504128,14.54520919,14.49504128,Inf,4.518389557,4.51585567,4.518389557,Inf,2.209442828,2.208781206,2.209442828,Inf,"1-mer","PreF_B2_1-mer"
"E18","B2","Total",178,206.1830254,190.7192985,228.0060966,29.10390299,29.3056654,29.10390299,Inf,7.490845845,7.491179847,7.490845845,Inf,2.894159767,2.894137693,2.894159767,Inf,"1-mer","Total_B2_1-mer"
"E21","B1","DP",47,49.34547822,47,Inf,12.22622518,12.41334323,12.22622518,Inf,8.752867206,8.77236531,8.752867206,Inf,5.651558074,5.656583652,5.651558074,Inf,"1-mer","DP_B1_1-mer"
"E21","B1","PreF",59,64.55178507,59,Inf,13.68636766,13.92751679,13.68636766,Inf,7.571201472,7.565863354,7.571201472,Inf,3.766315789,3.763319138,3.766315789,Inf,"1-mer","PreF_B1_1-mer"
"E21","B1","Total",109,117.3203125,109,134.9846219,26.66164528,27.04040033,26.66164528,Inf,16.73953194,16.72787162,16.73953194,Inf,8.077894737,8.071984728,8.077894737,Inf,"1-mer","Total_B1_1-mer"
"E21","B2","DP",61,69.68282319,61,Inf,14.22609405,14.43393296,14.22609405,Inf,7.51821814,7.541365282,7.51821814,Inf,3.509183673,3.514182751,3.509183673,Inf,"1-mer","DP_B2_1-mer"
"E21","B2","PreF",108,112.4477339,108,124.4638538,40.80596004,41.03713685,40.80596004,Inf,17.86462306,17.78451213,17.86462306,Inf,5.510526316,5.494574644,5.510526316,Inf,"1-mer","PreF_B2_1-mer"
"E21","B2","Total",173,183.0393364,173,198.5059406,52.42425145,52.72944246,52.42425145,Inf,23.72720105,23.64545469,23.72720105,Inf,7.979591837,7.962714131,7.979591837,Inf,"1-mer","Total_B2_1-mer"
"E23","B1","DP",95,98.42472521,95,Inf,15.73739415,15.84221186,15.73739415,Inf,6.742103334,6.744556481,6.742103334,Inf,3.144003777,3.144430689,3.144003777,Inf,"20-mer","DP_B1_20-mer"
"E23","B1","PreF",45,55.82674007,45,Inf,12.87228192,13.13725388,12.87228192,Inf,8.436477827,8.479443484,8.436477827,Inf,4.842391304,4.853588811,4.842391304,Inf,"20-mer","PreF_B1_20-mer"
